advice,pe,prev_rev_yoy,prev_eps,gm,prev_year,eps_yoy,price,om,eps,prev_eps_yoy,name,symbol,date,expansion,rev_yoy,est_price,status
⚪ 數據不足,0.0,20.5,13.61,21.29%,2025,38.11,0.0,16.93%,4.33,11.37,大東電,1623.TW,2026-03,25.689999999999998,12.42,0.0,🚀 利潤擴張
💎 強力關注,9.730113636363637,6.4,2.74,80.00%,2025,83.05,68.5,33.03%,1.08,-1.08,元大金,2885.TW,2026-03,20.689999999999998,62.36,105.6,🏰 高護城河
✅ 穩健價值,13.878924108923767,0.36,0.85,N/A,2025,45.45,30.9500007629,N/A,0.32,-66.0,中連,5604.TWO,2026-03,19.960000000000004,25.49,33.45,🚀 利潤擴張
💎 強力關注,9.99999976737805,0.56,0.76,N/A,2025,470.83,16.3999996185,N/A,0.89,-11.63,宏遠證,6015.TWO,2026-03,19.539999999999964,451.29,24.599999999999998,🚀 利潤擴張
⚪ 數據不足,0.0,-8.35,-0.61,N/A,2025,45.71,11.8500003815,N/A,-0.19,-134.86,力新,5202.TWO,2026-03,18.900000000000002,26.81,-30.900000000000002,🚀 利潤擴張
💎 強力關注,9.205508636207627,4.06,1.9,97.25%,2025,41.03,43.4500007629,45.93%,0.55,13.1,華南金,2880.TW,2026-03,18.060000000000002,22.97,70.8,🏰 高護城河
⚠️ 追價風險,164.6153846153846,13.9,0.81,31.93%,2025,234.78,107.0,8.13%,0.31,35.0,博磊,3581.TWO,2026-03,17.97999999999999,216.8,9.75,🚀 利潤擴張
💎 強力關注,7.291666666666666,14.52,0.68,89.95%,2025,33.33,12.25,32.37%,0.2,28.3,高雄銀,2836.TW,2026-03,17.229999999999997,16.1,25.200000000000003,🏰 高護城河
⚠️ 追價風險,605.625,25.43,0.15,N/A,2025,331.43,484.5,N/A,1.67,107.11,環宇-KY,4991.TWO,2026-03,15.160000000000025,316.27,11.999999999999998,🚀 利潤擴張
⚪ 數據不足,0.0,10.14,2.91,N/A,2025,10.53,36.2999992371,N/A,0.42,14.12,精誠金融,7819.TWO,2026-03,12.35,-1.82,0.0,🧐 疑業外收益
💎 強力關注,9.42257257897638,-12.26,1.74,78.38%,2025,34.04,35.9000015259,39.14%,0.69,-10.99,凱基金,2883.TW,2026-03,12.0,22.04,57.14999999999999,🏰 高護城河
⚪ 數據不足,0.0,-0.97,-2.92,N/A,2025,52.29,30.2000007629,N/A,-0.53,-14.12,華安,6657.TW,2026-03,10.350000000000001,41.94,-109.2,🚀 利潤擴張
⚠️ 追價風險,36.87875910098132,6.74,25.6,100.00%,2025,29.13,2330.0,60.64%,7.98,4.19,力旺,3529.TWO,2026-03,9.14,19.99,947.7,🏰 高護城河
⚪ 數據不足,0.0,-8.31,-0.43,24.77%,2025,283.33,26.0499992371,-4.59%,0.23,-53.57,宏亞,1236.TW,2026-03,8.629999999999995,274.7,-14.25,🔄 轉虧為盈
⚪ 數據不足,0.0,-15.19,-3.35,27.77%,2025,153.49,19.8999996185,-13.99%,0.25,-827.91,岱宇,1598.TW,2026-03,7.890000000000015,145.6,-89.10000000000001,🔄 轉虧為盈
✅ 穩健價值,7.001102535832414,15.86,4.66,N/A,2025,56.0,63.5,N/A,0.39,24.93,全景軟體,8272.TWO,2026-03,7.82,48.18,136.05,🚀 利潤擴張
⚠️ 追價風險,26.22222264611111,-2.15,0.38,84.77%,2025,37.5,23.6000003815,20.24%,0.11,-7.32,欣欣,2901.TW,2026-03,7.48,30.02,13.5,🏰 高護城河
⚪ 數據不足,0.0,-3.6,-0.92,N/A,2025,-5.56,0.0,N/A,-0.19,14.95,未知,4178.TWO,2026-03,5.7299999999999995,-11.29,0.0,🌑 雙重衰退
⚪ 數據不足,0.0,-3.6,-0.92,N/A,2025,-5.56,16.6000003815,N/A,-0.19,14.95,永笙-KY,4178.TW,2026-03,5.7299999999999995,-11.29,0.0,🌑 雙重衰退
✅ 穩健價值,6.568396316391509,-3.57,0.99,N/A,2025,114.29,27.8500003815,N/A,1.5,-38.13,詩肯,6195.TWO,2026-03,5.1200000000000045,109.17,63.6,🚀 利潤擴張
✅ 穩健價值,8.221859955285483,-1.77,2.36,83.45%,2025,16.67,50.4000015259,33.61%,0.63,0.85,兆豐金,2886.TW,2026-03,4.100000000000001,12.57,91.94999999999999,🏰 高護城河
⚠️ 追價風險,86.32652905530612,13.2,0.25,73.82%,2025,16.67,42.2999992371,-7.29%,0.07,41.18,聯傑,3094.TW,2026-03,3.8000000000000025,12.87,7.35,🏰 高護城河
⚪ 數據不足,0.0,-8.05,-0.43,N/A,2025,300.0,81.5,N/A,0.24,-326.32,亞電,4939.TWO,2026-03,3.490000000000009,296.51,-22.2,🔄 轉虧為盈
⚪ 數據不足,0.0,8.14,2.56,N/A,2025,5.8,44.2999992371,N/A,0.73,18.52,達人網,7839.TWO,2026-03,3.3499999999999996,2.45,0.0,🚀 利潤擴張
⚠️ 追價風險,46.975307700123466,15.88,0.58,N/A,2025,35.9,38.0499992371,N/A,-0.25,-16.92,能率亞洲,7777.TWO,2026-03,3.0700000000000003,32.83,12.149999999999999,🚀 利潤擴張
